date,mid_price,label
2019.11.20,178450,0.132450331
2019.11.21,173475,0.179310345
2019.11.22,166375,0.294520548
2019.11.23,172350,0.210884354
2019.11.24,172750,0.206896552
2019.11.25,177200,0.454545455
2019.11.26,179950,0.340425532
2019.11.27,178675,0.218309859
2019.11.28,174400,0.287769784
2019.11.29,174000,0.062222222
2019.11.30,174100,0.173913043
2019.12.01,173450,0.302325581
2019.12.02,172675,0.161538462
2019.12.03,173250,0.2421875
2019.12.04,173550,0.183206107
2019.12.05,174650,0.251908397
2019.12.06,174575,0.136363636
2019.12.07,171325,0.277372263
2019.12.08,169075,0.458333333
2019.12.09,166250,0.394160584
2019.12.10,167750,0.321428571
2019.12.11,165350,0.416666667
2019.12.12,164125,0.201492537
2019.12.13,158450,0.252252252
2019.12.14,147425,0.224137931
2019.12.15,145775,0.402985075
2019.12.16,150225,0.192982456
2019.12.17,147625,0.086206897
2019.12.18,147400,0.210084034
2019.12.19,149800,0.026086957
2019.12.20,150875,0.068965517
2019.12.21,148000,0.367521368
2019.12.22,146100,0.421052632
2019.12.23,146800,0.219298246
2019.12.24,143675,0.353448276
2019.12.25,146450,0.386554622
2019.12.26,149625,0.144067797
2019.12.27,151350,0.213675214
2019.12.28,149825,0.299145299
2019.12.29,149325,0.212962963
2019.12.30,146750,0.320754717
2019.12.31,147900,0.256880734
2020.01.01,152725,0.483050847
2020.01.02,155275,0.387931034
2020.01.03,158550,0.47826087
2020.01.04,162650,0.194915254
2020.01.05,162950,0.090909091
2020.01.06,157000,0.443478261
2020.01.07,159250,0.587719298
2020.01.08,163550,0.548672566
2020.01.09,162350,0.4
2020.01.10,163000,0.310344828
2020.01.11,173650,-0.034482759
2020.01.12,184675,0.07826087
2020.01.13,181225,0.252173913
2020.01.14,189500,0.421052632
2020.01.15,196300,0.008196721
2020.01.16,193075,0.333333333
2020.01.17,188575,0.36440678
2020.01.18,191525,0.173913043
2020.01.19,192900,0.376470588
2020.01.20,188750,0.327586207
2020.01.21,186400,0.298245614
2020.01.22,186625,0.175438596
2020.01.23,190500,0.565217391
2020.01.24,194175,0.49122807
2020.01.25,196100,0.324561404
2020.01.26,201100,0.4
2020.01.27,203175,0.464912281
2020.01.28,206700,0.504424779
2020.01.29,209650,0.603448276
2020.01.30,215100,0.352459016
2020.01.31,219800,0.43220339
2020.02.01,217225,0.358333333
2020.02.02,227450,0.403669725
2020.02.03,240350,0.254901961
2020.02.04,254575,0.398058252
2020.02.05,257425,0.266666667
2020.02.06,263975,0.133333333
2020.02.07,260075,0.32
2020.02.08,264450,0.4
2020.02.09,294075,0.31
2020.02.10,303800,0.112244898
2020.02.11,315250,0.265306122
2020.02.12,318075,0.24742268
2020.02.13,300650,0.285714286
2020.02.14,300175,0.31
2020.02.15,319375,0.428571429
2020.02.16,320575,0.343434343
2020.02.17,305875,0.385416667
