,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,KRW-ETH,2019-06-12T00:00:00,2019-06-12T09:00:00,297400,316000,295250,315250,2019-06-12 23:59:59.533,28234576844.206300,93029.79594081,297450,17800.0,0.0598419903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,KRW-ETH,2019-06-13T00:00:00,2019-06-13T09:00:00,315250,317700,307450,308100,2019-06-13 23:59:46.204,30251252641.891500,97027.9253087,315250,-7150.0,-0.022680412400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,KRW-ETH,2019-06-14T00:00:00,2019-06-14T09:00:00,308400,320000,305550,317800,2019-06-14 23:59:53.507,29140723534.551000,93532.28791975,308100,9700.0,0.0314832846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,KRW-ETH,2019-06-15T00:00:00,2019-06-15T09:00:00,317900,326500,313000,319500,2019-06-15 23:59:56.004,32770735813.972800,102801.9508951,317800,1700.0,0.005349276300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,KRW-ETH,2019-06-16T00:00:00,2019-06-16T09:00:00,319500,330500,317000,320150,2019-06-16 23:59:58.058,37968828325.88070,117198.50737553,319500,650.0,0.0020344288000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,KRW-ETH,2019-06-17T00:00:00,2019-06-17T09:00:00,320200,326050,319550,324100,2019-06-17 23:59:58.826,29762275703.449900,92232.91305868,320150,3950.0,0.0123379666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,KRW-ETH,2019-06-18T00:00:00,2019-06-18T09:00:00,324350,324900,314650,317800,2019-06-18 23:59:57.111,24887112206.311500,77871.25080125,324100,-6300.0,-0.0194384449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,KRW-ETH,2019-06-19T00:00:00,2019-06-19T09:00:00,317800,322500,316150,320400,2019-06-19 23:59:57.102,19136567452.701400,59811.61194191,317800,2600.0,0.008181246100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,KRW-ETH,2019-06-20T00:00:00,2019-06-20T09:00:00,320450,326400,316850,323350,2019-06-20 23:59:51.937,33073525481.329300,103080.52629168,320400,2950.0,0.0092072409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,KRW-ETH,2019-06-21T00:00:00,2019-06-21T09:00:00,323350,349500,323100,347450,2019-06-22 00:00:00.025,71780818975.43830,212495.01745699,323350,24100.0,0.07453224060000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
